ID da fila;ID da compra;Data da compra;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País;Região;ID do produto;Categoria;Sub-categoria;Nome do produto;Vendas;Quantidade;Desconto;Lucro;Lucro Tratado;Marca do produto;Descrição complementar do produto;Descrição do produto;Preço Unitário;Custo;Custo Unitário;Lucro Unitário
20;US-2014-126655;2014-06-26;2014-07-01;Classe padrão;GO-14800;Giovanna Oliveira;Grande Empresa;San Miguelito;Panamá;Panamá;Central;MAT-EN-10003820;Material de escritório;Envelopes;Jiffy Envelope com fecho, Reciclado;87,83999999999997;3;0,4;48,36;48,36;Jiffy;Reciclado;Envelope com fecho;29,27999999999999;39,87999999999998;13,293333333333328;16,12
21;MX-2014-167759;2014-12-19;2014-12-25;Classe padrão;JS-15610;José Souza;Grande Empresa;San Cristóbal de Las Casas;Chiapas;México;Norte;MÓV-CA-10004369;Móveis;Cadeiras;HON Cadeira de balanço, Preto;2734,7200000000003;4;0,2;957,1200000000001;957,1200000000001;HON;Preto;Cadeira de balanço;683,6800000000001;1777,8;444,45;239,28000000000003
22;MX-2014-163139;2014-10-29;2014-11-02;Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;TEC-AC-10002771;Tecnologia;Acessórios;Enermax Mouse, Durável;269,99999999999994;1;0,0;59,400000000000006;59,400000000000006;Enermax;Durável;Mouse;269,99999999999994;210,59999999999994;210,59999999999994;59,400000000000006
23;MX-2014-163139;2014-10-29;2014-11-02;Segunda classe;VF-21055;Victor Ferreira;Varejo;Santiago;Santiago;Chile;Sul;MAT-MA-10000059;Material de escritório;Materiais;Acme Estilete, Retangular;2070,0;9;0,0;662,4;662,4;Acme;Retangular;Estilete;230,0;1407,6;156,39999999999998;73,6
24;US-2015-119753;2015-10-03;2015-10-08;Classe padrão;EC-13195;Eduarda Castro;Grande Empresa;Cidade do Panamá;Panamá;Panamá;Central;MAT-FI-10002744;Material de escritório;Fichários;Acco Encadernadora, Transparente;606,6;3;0,4;202,2;202,2;Acco;Transparente;Encadernadora;202,20000000000002;404,8;134,93333333333334;67,39999999999999
25;US-2013-133970;2013-09-26;2013-09-29;Primeira classe;SA-20215;Samuel Almeida;Varejo;Hermosillo;Sonora;México;Norte;MÓV-MÓ-10004431;Móveis;Móveis ;Deflect-O Relógio de parede, Preto;1811,1599999999999;9;0,4;755,64;755,64;Deflect-O;Preto;Relógio de parede;201,23999999999998;1055,92;117,32444444444445;83,96
26;MX-2015-120607;2015-06-18;2015-06-25;Classe padrão;SP-20650;Sophia Pereira;Grande Empresa;Coyoacán;Distrito Federal;México;Norte;TEC-CO-10004677;Tecnologia;Copiadoras;HP Copiadora, Colorida;3261,8632;2;0,002;647,0632;647,0632;HP;Colorida;Copiadora;1630,9316;2614,8019999999997;1307,4009999999998;323,5316
27;MX-2015-120607;2015-06-18;2015-06-25;Classe padrão;SP-20650;Sophia Pereira;Grande Empresa;Coyoacán;Distrito Federal;México;Norte;MAT-AR-10000951;Material de escritório;Armazenamento;Rogers Caixa, Tamanho real;800,0;5;0,0;344,0;344,0;Rogers;Tamanho real;Caixa;160,0;456,0;91,2;68,8
28;US-2014-167129;2014-05-24;2014-05-31;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-FI-10000837;Material de escritório;Fichários;Wilson Jones Encadernadora, Durável;1412,8799999999999;7;0,4;730,52;730,52;Wilson;Durável;Jones Encadernadora;201,83999999999997;682,76;97,53714285714285;104,36
29;US-2014-167129;2014-05-24;2014-05-31;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;218,4;4;0,4;32,8;32,8;Stockwell;Metal;Percevejo niquelado;54,6;186,0;46,5;8,2
30;US-2014-167129;2014-05-24;2014-05-31;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-TE-10003197;Tecnologia;Telefones;Motorola Telefone do escritório, Azul;1148,1599999999999;4;0,4;498,24;498,24;Motorola;Azul;Telefone do escritório;287,03999999999996;650,3199999999999;162,57999999999998;124,56
31;US-2014-167129;2014-05-24;2014-05-31;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10003036;Material de escritório;Arte;Crayola Marcador, Azul;192,72;2;0,4;28,72;28,72;Crayola;Azul;Marcador;96,36;164,4;82,2;14,36
32;US-2014-167129;2014-05-24;2014-05-31;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000856;Material de escritório;Acessórios;Breville Torradeira, Preto;1522,8000000000002;5;0,4;990,2;990,2;Breville;Preto;Torradeira;304,56000000000006;533,0000000000002;106,60000000000005;198,04000000000002
33;US-2014-167129;2014-05-24;2014-05-31;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004237;Tecnologia;Copiadoras;Sharp Fax, Digital;9417,782399999998;8;0,402;6017,4176;6017,4176;Sharp;Digital;Fax;1177,2227999999998;3400,7667999999985;425,0958499999998;752,1772
34;US-2014-167129;2014-05-24;2014-05-31;Classe padrão;RF-20050;Rodrigo Fernandes;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AR-10001838;Material de escritório;Arte;Stanley Apontador, Metal;104,16;1;0,4;7,03999999999999;7,03999999999999;Stanley;Metal;Apontador;104,16;97,52000000000001;97,52000000000001;7,03999999999999
35;MX-2015-100727;2015-05-15;2015-05-18;Primeira classe;EF-13525;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10002935;Material de escritório;Materiais;Fiskars Estilete, Retangular;3007,2000000000003;14;0,0;1290,8;1290,8;Fiskars;Retangular;Estilete;214,8;1716,4000000000003;122,60000000000002;92,2
36;MX-2015-100727;2015-05-15;2015-05-18;Primeira classe;EF-13525;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001381;Material de escritório;Materiais;Acme Abridor de carta, Aço;1381,8;7;0,0;537,6;537,6;Acme;Aço;Abridor de carta;197,4;844,1999999999999;120,6;76,8
37;MX-2015-100727;2015-05-15;2015-05-18;Primeira classe;EF-13525;Emily Fernandes;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;MAT-MA-10001508;Material de escritório;Materiais;Kleencut Estilete, Aço;907,9999999999999;4;0,0;317,6;317,6;Kleencut;Aço;Estilete;226,99999999999997;590,3999999999999;147,59999999999997;79,4
38;MX-2015-154739;2015-07-04;2015-07-07;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ME-10004436;Móveis;Mesas;Chromcraft Mesa de centro, Retangular;5293,200000000001;3;0,0;2646,6000000000004;2646,6000000000004;Chromcraft;Retangular;Mesa de centro;1764,4000000000003;2646,6000000000004;882,2000000000002;882,2000000000002
39;MX-2015-154739;2015-07-04;2015-07-07;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MÓV-ES-10001334;Móveis;Estantes;Ikea Estante, Branco;3336,0;4;0,0;1067,2;1067,2;Ikea;Branco;Estante;834,0;2268,8;567,2;266,8
40;MX-2015-154739;2015-07-04;2015-07-07;Segunda classe;SA-20440;Sofia Almeida;Grande Empresa;Artemisa;Artemisa;Cuba;Caribe;MAT-CO-10003965;Material de escritório;Colchetes;Advantus Elásticos, Embalagem com 12;427,2;4;0,0;4,0;4,0;Advantus;Embalagem com 12;Elásticos;106,8;423,2;105,8;1,0
41;MX-2015-121398;2015-12-09;2015-12-11;Segunda classe;AA-10825;Arthur Alves;Grande Empresa;La Romana;La Romana;República Dominicana;Caribe;MAT-MA-10004629;Material de escritório;Materiais;Fiskars Cortador de papel, Retangular;624,0000000000002;3;0,2;85,79999999999993;85,79999999999993;Fiskars;Retangular;Cortador de papel;208,00000000000009;538,4000000000003;179,46666666666678;28,599999999999977
42;MX-2014-121839;2014-06-17;2014-06-21;Segunda classe;RA-19690;Rafaela Alves;Varejo;Milpa Alta;Distrito Federal;México;Norte;TEC-TE-10004696;Tecnologia;Telefones;Motorola Smart Phone, Azul;3460,8;4;0,0;1556,8000000000002;1556,8000000000002;Motorola;Azul;Smart Phone;865,2;1904,0;476,0;389,20000000000005
43;MX-2015-142643;2015-10-29;2015-11-02;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-MÁ-10000856;Tecnologia;Máquinas;Panasonic Inkjet, Branco;4140,000000000001;2;0,0;455,20000000000005;455,20000000000005;Panasonic;Branco;Inkjet;2070,0000000000005;3684,800000000001;1842,4000000000005;227,60000000000002
44;MX-2015-142643;2015-10-29;2015-11-02;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;MAT-AC-10003188;Material de escritório;Acessórios;Hamilton Beach Forno, Preto;7223,6;2;0,0;505,6000000000001;505,6000000000001;Hamilton;Preto;Beach Forno;3611,8;6718,0;3359,0;252,80000000000004
45;MX-2015-142643;2015-10-29;2015-11-02;Classe padrão;LS-17815;Luis Souza;Varejo;San Juan del Río;Querétaro;México;Norte;TEC-AC-10001296;Tecnologia;Acessórios;Memorex Mouse, Econômico;563,4000000000001;3;0,0;39,0;39,0;Memorex;Econômico;Mouse;187,80000000000004;524,4000000000001;174,80000000000004;13,0
46;MX-2015-164959;2015-01-16;2015-01-17;No mesmo dia;LC-16960;Leonardo Correia;Pequenas e Medias Empresas;Goiânia;Goiás;Brasil;Sul;MÓV-CA-10004556;Móveis;Cadeiras;Novimex Cadeira dobrável, Par;1689,6000000000001;3;0,0;405,0;405,0;Novimex;Par;Cadeira dobrável;563,2;1284,6000000000001;428,20000000000005;135,0
47;US-2013-151372;2013-04-27;2013-05-02;Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MAT-AR-10003252;Material de escritório;Armazenamento;Eldon Bandejas, Metal;1254,4;5;0,2;-0,6000000000000227;0,6000000000000227;Eldon;Metal;Bandejas;250,88000000000002;1254,0;250,8;0,12000000000000455
48;US-2013-151372;2013-04-27;2013-05-02;Classe padrão;AA-10240;Alice Araujo;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;1534,0752000000002;2;0,202;361,2751999999998;361,2751999999998;Canon;Colorida;Copiadora para uso pessoal;767,0376000000001;1173,0020000000004;586,5010000000002;180,6375999999999
49;MX-2012-127145;2012-06-12;2012-06-17;Classe padrão;RP-20200;Ryan Pinto;Varejo;São Benedito;Ceará;Brasil;Sul;MÓV-MÓ-10003663;Móveis;Móveis ;Advantus Lâmpada, Preto;267,6;2;0,0;74,8;74,8;Advantus;Preto;Lâmpada;133,8;192,8;96,4;37,4
50;MX-2015-100783;2015-05-06;2015-05-10;Classe padrão;MS-18205;Maria Santos;Grande Empresa;Medellín;Antioquia;Colômbia;Sul;MAT-CO-10001898;Material de escritório;Colchetes;Accos Clips de papel, Embalagem com 12;449,00000000000006;5;0,0;85,0;85,0;Accos;Embalagem com 12;Clips de papel;89,80000000000001;364,00000000000006;72,80000000000001;17,0
51;MX-2012-168662;2012-10-13;2012-10-18;Segunda classe;KG-16255;Kauã Gomes;Grande Empresa;Toluca;México;México;Norte;MAT-MA-10002131;Material de escritório;Materiais;Stiletto Abridor de carta, Retangular;668,8000000000001;4;0,0;287,2;287,2;Stiletto;Retangular;Abridor de carta;167,20000000000002;381,6000000000001;95,40000000000002;71,8
52;US-2012-150987;2012-04-02;2012-04-06;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10004173;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Par;2306,7252;3;0,402;856,4748;856,4748;Hewlett;Par;Fax e copiadora;768,9083999999999;1450,6524;483,5508;285,4916
53;US-2012-150987;2012-04-02;2012-04-06;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;TEC-CO-10000153;Tecnologia;Copiadoras;Canon Copiadora para uso pessoal, Colorida;1724,3928000000003;3;0,402;34,8072000000004;34,8072000000004;Canon;Colorida;Copiadora para uso pessoal;574,7976000000001;1689,9876;563,3292;11,602400000000133
54;US-2012-150987;2012-04-02;2012-04-06;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-AC-10000709;Material de escritório;Acessórios;KitchenAid Forno, Preto;6834,959999999999;3;0,4;797,64;797,64;KitchenAid;Preto;Forno;2278,3199999999997;6037,719999999998;2012,5733333333328;265,88
55;US-2012-150987;2012-04-02;2012-04-06;Segunda classe;EA-13480;Emily Alves;Pequenas e Medias Empresas;Tegucigalpa;Francisco Morazán;Honduras;Central;MAT-EN-10004625;Material de escritório;Envelopes;Ames Com lacre, Reciclado;277,19999999999993;2;0,4;41,20000000000002;41,20000000000002;Ames;Reciclado;Com lacre;138,59999999999997;236,3999999999999;118,19999999999995;20,60000000000001
56;MX-2014-156013;2014-05-31;2014-06-05;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MAT-CO-10003399;Material de escritório;Colchetes;Stockwell Percevejo niquelado, Metal;218,39999999999998;3;0,2;30,0;30,0;Stockwell;Metal;Percevejo niquelado;72,8;188,59999999999997;62,86666666666665;10,0
57;MX-2014-156013;2014-05-31;2014-06-05;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Santo Domingo;Santo Domingo;República Dominicana;Caribe;MÓV-ES-10001838;Móveis;Estantes;Bush Par, Preto;2005,44;4;0,4;133,76;133,76;Bush;Preto;Par;501,36;1872,0800000000002;468,02000000000004;33,44
58;MX-2012-137897;2012-05-17;2012-05-20;Segunda classe;JM-15580;José Melo;Varejo;Tulancingo;Hidalgo;México;Norte;TEC-TE-10001342;Tecnologia;Telefones;Nokia Carregador, Tamanho real;21245,000000000004;5;0,0;4886,0;4886,0;Nokia;Tamanho real;Carregador;4249,000000000001;16359,000000000004;3271,8000000000006;977,2
59;US-2012-134950;2012-08-24;2012-08-28;Classe padrão;NF-19240;Nicolash Ferreira;Varejo;Cidade do Panamá;Panamá;Panamá;Central;MAT-AR-10001866;Material de escritório;Arte;Sanford Marcadores de texto, Tamanhos variados;227,15999999999997;3;0,4;117,84;117,84;Sanford;Tamanhos variados;Marcadores de texto;75,71999999999998;109,71999999999997;36,57333333333332;39,28
60;MX-2014-152611;2014-10-11;2014-10-17;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Pinheiro;Maranhão;Brasil;Sul;TEC-TE-10003922;Tecnologia;Telefones;Samsung Telefone do escritório, Azul;3913,2;9;0,0;1447,2;1447,2;Samsung;Azul;Telefone do escritório;434,79999999999995;2466,0;274,0;160,8
61;MX-2012-155488;2012-10-21;2012-10-27;Classe padrão;CS-12220;Carla Silva;Varejo;La Paz;Baixa Califórnia do Sul;México;Norte;MAT-AC-10003848;Material de escritório;Acessórios;Hoover Liquidificador, Branco;635,4000000000001;1;0,0;209,60000000000002;209,60000000000002;Hoover;Branco;Liquidificador;635,4000000000001;425,80000000000007;425,80000000000007;209,60000000000002
62;MX-2015-116337;2015-05-16;2015-05-16;No mesmo dia;MS-18205;Maria Santos;Grande Empresa;Lençóis Paulista;São Paulo;Brasil;Sul;MÓV-ES-10003326;Móveis;Estantes;Safco Estante tradicional, Metal;8752,2;3;0,0;1399,8000000000002;1399,8000000000002;Safco;Metal;Estante tradicional;2917,4;7352,400000000001;2450,8;466,6000000000001
63;US-2013-164609;2013-08-26;2013-08-28;Segunda classe;LM-16885;Leila Martins;Varejo;Tegucigalpa;Francisco Morazán;Honduras;Central;MÓV-ES-10000391;Móveis;Estantes;Ikea Biblioteca, Preto;4376,879999999999;3;0,4;-2480,52;2480,52;Ikea;Preto;Biblioteca;1458,9599999999998;1896,7599999999989;632,253333333333;826,84
64;MX-2015-165442;2015-03-14;2015-03-17;Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10001257;Material de escritório;Fichários;Acco Encadernadora, Reciclado;686,0;2;0,0;267,2;267,2;Acco;Reciclado;Encadernadora;343,0;418,8;209,4;133,6
65;MX-2015-165442;2015-03-14;2015-03-17;Primeira classe;BF-11530;Breno Ferreira;Pequenas e Medias Empresas;Ciudad Madero;Tamaulipas;México;Norte;MAT-FI-10002581;Material de escritório;Fichários;Acco Pasta argolada, Transparente;487,0;5;0,0;175,0;175,0;Acco;Transparente;Pasta argolada;97,4;312,0;62,4;35,0
66;US-2013-104997;2013-11-05;2013-11-11;Classe padrão;NR-19300;Nicole Ribeiro;Varejo;La Ceiba;Atlántida;Honduras;Central;MÓV-ME-10000799;Móveis;Mesas;HON Mesa de treinamento, Retangular;1321,0800000000004;2;0,7;-924,9200000000001;924,9200000000001;HON;Retangular;Mesa de treinamento;660,5400000000002;396,86000000000035;198,43000000000018;462,46000000000004
67;MX-2012-165673;2012-05-31;2012-06-05;Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;MAT-PA-10002155;Material de escritório;Papel;Eaton Papel de pergaminho, Premium;179,6;2;0,0;57,2;57,2;Eaton;Premium;Papel de pergaminho;89,8;122,39999999999999;61,199999999999996;28,6
68;MX-2012-165673;2012-05-31;2012-06-05;Classe padrão;NS-19210;Nicolas Souza;Grande Empresa;Guantânamo;Guantânamo;Cuba;Caribe;TEC-CO-10003597;Tecnologia;Copiadoras;Hewlett Fax e copiadora, Vermelho;6356,261999999999;5;0,002;2661,262;2661,262;Hewlett;Vermelho;Fax e copiadora;1271,2523999999999;3695,001999999999;739,0003999999998;532,2524000000001
69;MX-2014-164021;2014-07-23;2014-07-29;Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-ES-10004606;Móveis;Estantes;Sauder Estante tradicional, Preto;8746,8;3;0,0;4110,6;4110,6;Sauder;Preto;Estante tradicional;2915,6;4636,199999999999;1545,3999999999996;1370,2
70;MX-2014-164021;2014-07-23;2014-07-29;Classe padrão;BC-11140;Beatriz Castro;Varejo;Bello;Antioquia;Colômbia;Sul;MÓV-MÓ-10003988;Móveis;Móveis ;Deflect-O Lâmpada, Preto;759,5999999999999;6;0,0;379,20000000000005;379,20000000000005;Deflect-O;Preto;Lâmpada;126,59999999999998;380,39999999999986;63,39999999999998;63,20000000000001
71;US-2015-120194;2015-09-12;2015-09-19;Classe padrão;VD-21445;Vitór Dias;Grande Empresa;Abreu e Lima;Pernambuco;Brasil;Sul;MÓV-ME-10001141;Móveis;Mesas;Chromcraft Mesa de conferência, Retangular;9282,560000000001;2;0,2;-812,2400000000002;812,2400000000002;Chromcraft;Retangular;Mesa de conferência;4641,280000000001;8470,520000000002;4235,260000000001;406,1200000000001
72;US-2012-132388;2012-02-24;2012-02-28;Classe padrão;GM-14470;Gabriela Martins;Varejo;Santo Domingo;Santo Domingo;República Dominicana;Caribe;TEC-MÁ-10004627;Tecnologia;Máquinas;Okidata Impressora, Durável;1074,4800000000002;2;0,7;-1217,92;1217,92;Okidata;Durável;Impressora;537,2400000000001;-142,73999999999978;-71,36999999999989;608,96
73;MX-2013-156720;2013-02-17;2013-02-22;Classe padrão;FC-14215;Felipe Costa;Grande Empresa;Monterrey;Novo Leão;México;Norte;MAT-MA-10002650;Material de escritório;Materiais;Stiletto Cortador de papel, Azul;285,00000000000006;1;0,0;122,4;122,4;Stiletto;Azul;Cortador de papel;285,00000000000006;162,60000000000005;162,60000000000005;122,4
